tanggal,pm_duakomalima
2023-07-31,115.0
2023-08-01,103.0
2023-08-02,99.0
2023-08-03,106.0
2023-08-04,110.0
2023-08-05,111.0
2023-08-06,118.0
2023-08-07,139.0
2023-08-08,105.0
2023-08-09,104.0
2023-08-10,102.0
2023-08-11,119.0
2023-08-12,126.0
2023-08-13,128.0
2023-08-14,115.0
2023-08-15,122.0
2023-08-16,138.0
2023-08-17,111.0
2023-08-18,82.0
2023-08-19,127.0
2023-08-20,113.0
2023-08-21,105.0
2023-08-22,123.0
2023-08-23,110.0
2023-08-24,114.0
2023-08-25,112.0
2023-08-26,96.0
2023-08-27,139.0
2023-08-28,98.0
2023-08-29,108.0
2023-08-30,113.0
2023-08-31,108.0
2023-09-01,117.0
2023-09-02,112.0
2023-09-03,102.0
2023-09-04,96.0
2023-09-05,134.0
2023-09-06,104.0
2023-09-07,121.0
2023-09-08,117.0
2023-09-09,111.0
2023-09-10,99.0
2023-09-11,126.0
2023-09-12,152.0
2023-09-13,107.0
2023-09-14,93.0
2023-09-15,108.0
2023-09-16,113.0
2023-09-17,110.0
2023-09-18,86.0
2023-09-19,109.0
2023-09-20,98.0
2023-09-21,101.0
2023-09-22,93.0
2023-09-23,111.0
2023-09-24,92.0
2023-09-25,114.0
2023-09-26,249.0
2023-09-27,217.0
2023-09-28,287.0
2023-09-29,143.0
2023-10-01,199.0
2023-10-02,122.0
2023-10-03,93.0
2023-10-04,115.0
2023-10-05,123.0
2023-10-06,111.0
2023-10-07,141.0
2023-10-08,148.0
2023-10-09,122.0
2023-10-10,121.0
2023-10-11,106.0
2023-10-12,123.0
2023-10-13,121.0
2023-10-14,110.0
2023-10-15,117.0
2023-10-16,122.0
2023-10-17,129.0
2023-10-18,122.0
2023-10-19,116.0
2023-10-20,106.0
2023-10-21,109.0
2023-10-22,114.0
2023-10-23,133.0
2023-10-24,107.0
2023-10-25,103.0
2023-10-26,114.0
2023-10-27,116.0
2023-10-28,122.0
2023-10-29,150.0
2023-10-30,108.0
2023-10-31,108.0
2023-11-01,104.0
2023-11-02,109.0
2023-11-03,108.0
2023-11-04,124.0
2023-11-05,74.0
2023-11-06,92.0
2023-11-07,107.0
2023-11-08,92.0
2023-11-09,109.0
2023-11-10,109.0
2023-11-11,91.0
2023-11-12,93.0
2023-11-13,94.0
2023-11-14,109.0
2023-11-15,79.0
2023-11-16,95.0
2023-11-17,87.0
2023-11-18,120.0
2023-11-19,88.0
2023-11-20,88.0
2023-11-21,89.0
2023-11-22,74.0
2023-11-23,93.0
2023-11-24,112.0
2023-11-25,101.0
2023-11-26,75.0
2023-11-27,77.0
2023-11-28,96.0
2023-11-29,105.0
2023-11-30,67.0
